NR5A2,nuclear receptor subfamily 5; group A; member 2,Hepatitis B Dental Caries
NRARP,NOTCH-regulated ankyrin repeat protein,Inflammatory Breast Carcinoma
NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,Noonan Syndrome 6;  Neurocutaneous Melanosis;  Ras-Associated Autoimmune Leukoproliferative Disease;  9
NRBP2,nuclear receptor binding protein 2,Medulloblastoma
NRCLP2,Narcolepsy; HLA-associated,Narcolepsy 2 Narcolepsy
NRCLP3,Narcolepsy 3,Narcolepsy 3 Narcolepsy
NRCLP4,Narcolepsy 4,Narcolepsy 4 Narcolepsy
NRCLP5,Narcolepsy 5,Narcolepsy 5 Narcolepsy
NRCLP6,Narcolepsy 6,Narcolepsy 6 Narcolepsy
NRF1,nuclear respiratory factor 1,Skin Carcinoma In Situ
NRG1,neuregulin 1,Schizophrenia;  Bipolar Disorder;  Cannabis Dependence;  Show all 6
NRG3,neuregulin 3,Schizoaffective Disorder Schizophrenia
NRGN,neurogranin (protein kinase C substrate; RC3),Jacobsen Syndrome;  Paraneoplastic Cerebellar Degeneration;  Cerebellar Degeneration;  Show all 5
NRIP1,nuclear receptor interacting protein 1,Granuloma Inguinale
NRIP3,nuclear receptor interacting protein 3,Sarcoma
NRK,Nik related kinase,Hypermobility Syndrome
NRL,neural retina leucine zipper,Retinal Degeneration; Autosomal Recessive; Clumped Pigment Type;  Retinitis Pigmentosa 27; Nrl-Related Retinitis Pigmentosa;  Show all 6
NRN1,neuritin 1,Astrocytoma
NRP1,neuropilin 1,Acute Hemorrhagic Leukoencephalitis;  Retinal Vascular Disease;  Chorioangioma Show all 4
NRP2,neuropilin 2,Wallerian Degeneration Infantile Epileptic Encephalopathy
NRTN,neurturin,Nrtn-Related Hirschsprung Disease;  Nephroblastoma;  Constipation;  
NRXN1,neurexin 1,Pitt-Hopkins-Like Syndrome;  Pitt-Hopkins-Like Syndrome 2;  Schizophrenia 17;  Show all 6
NRXN2,neurexin 2,Spinal Cancer Pancreatic Gastrinoma
NRXN3,neurexin 3,Autism Spectrum Disorder Alcohol Dependence
NS2,Noonan syndrome 2,Noonan Syndrome 2 Noonan Syndrome
NSA2,NSA2 ribosome biogenesis homolog (S. cerevisiae),Diabetic Nephropathy;  Hairy Cell Leukemia Leukemia
NSD1,nuclear receptor binding SET domain protein 1,Lipedema;  Sotos Syndrome 1;  Sotos Syndrome;  4
NSDHL,NAD(P) dependent steroid dehydrogenase-like,Congenital Hemidysplasia With Ichthyosiform Erythroderma And Limb Defects;  Nsdhl-Related Disorders;  Verruciform Xanthoma Of Skin;  Show all 7
NSF,N-ethylmaleimide-sensitive factor,Neuronal Intranuclear Inclusion Disease Botulism
NSMAF,neutral sphingomyelinase (N-SMase) activation associated factor,8P11 Myeloproliferative Syndrome
NSMF,NMDA receptor synaptonuclear signaling and neuronal migration factor,Hypogonadotropic Hypogonadism 9 With Or Without Anosmia Hypogonadotropic Hypogonadism 14 With Or Without Anosmia
NSUN2,NOP2/Sun RNA methyltransferase family; member 2,Dirofilariasis;  Mental Retardation; Autosomal Recessive 5;  Dubowitz Syndrome Show all 4
NSUN5,NOP2/Sun domain family; member 5,Williams-Beuren Syndrome Supravalvular Aortic Stenosis
NSUN5P1,NOP2/Sun domain family; member 5 pseudogene 1,Williams-Beuren Syndrome
NSUN5P2,NOP2/Sun domain family; member 5 pseudogene 2,Williams-Beuren Syndrome
NSX,N syndrome (mental retardation; malformations; chromosome breakage),N Syndrome
NT5C,5'; 3'-nucleotidase; cytosolic,Norwegian Scabies;  Scabies Acute Myeloid Leukemia
NT5C1B,5'-nucleotidase; cytosolic IB,Infertility
NT5C2,5'-nucleotidase; cytosolic II,Spastic Paraplegia 45;  Orbital Cellulitis;  Sphenoid Sinusitis Show all 4
NT5C3A,5'-nucleotidase; cytosolic IIIA,Anemia; Hemolytic; Due To Umph1 Deficiency
NT5E,5'-nucleotidase; ecto (CD73),Calcification Of Joints And Arteries Intestinal Tuberculosis
NT5M,5';3'-nucleotidase; mitochondrial,Dentin Sensitivity
NTAN1,N-terminal asparagine amidase,Secondary Progressive Multiple Sclerosis
NTF3,neurotrophin 3,Viral Meningitis;  Diabetic Polyneuropathy;  Diabetic Autonomic Neuropathy;  3
NTF4,neurotrophin 4,Head Injury;  Glaucoma 1; Open Angle; 1O;  Primary Angle-Closure Glaucoma;  Show all 9
NTHL1,nth endonuclease III-like 1 (E. coli),Primary Sclerosing Cholangitis;  Sclerosing Cholangitis Mitochondrial Disorders
NTM,neurotrimin,Juvenile Pilocytic Astrocytoma
NTN3,netrin 3,Tuberous Sclerosis; Type 2;  Mantle Cell Lymphoma Polycystic Kidney Disease; Type 1
NTNG1,netrin G1,Atypical Rett Syndrome Epileptic Encephalopathy; Early Infantile; 2
NTRK1,neurotrophic tyrosine kinase; receptor; type 1,Congenital Insensitivity To Pain With Anhidrosis;  Anhidrosis;  Familial Medullary Thyroid Carcinoma;  8
NTRK2,neurotrophic tyrosine kinase; receptor; type 2,Obesity; Hyperphagia; And Developmental Delay;  Pilocytic Astrocytoma;  Obesity Show all 4
NTRK3,neurotrophic tyrosine kinase; receptor; type 3,Congenital Fibrosarcoma;  Fibrosarcoma;  Congenital Mesoblastic Nephroma;  
NTS,neurotensin,Duodenogastric Reflux;  Dumping Syndrome;  Thyroid Medullary Carcinoma;  5
NTSR1,neurotensin receptor 1 (high affinity),Hyperglycemia
NTSR2,neurotensin receptor 2,Alcohol Dependence
NUAK1,NUAK family; SNF1-like kinase; 1,Omphalocele
NUB1,negative regulator of ubiquitin-like proteins 1,Synucleinopathy;  Multiple System Atrophy;  Dementia Show all 4
NUBPL,nucleotide binding protein-like,Mitochondrial Complex I Deficiency
NUCB2,nucleobindin 2,Gastric Cancer;  Seizure Disorder Type 2 Diabetes Mellitus
NUDT1,nudix (nucleoside diphosphate linked moiety X)-type motif 1,Attenuated Familial Adenomatous Polyposis;  Familial Adenomatous Polyposis;  Primary Sclerosing Cholangitis;  Show all 6
NUDT2,nudix (nucleoside diphosphate linked moiety X)-type motif 2,Cartilage-Hair Hypoplasia
NUDT6,nudix (nucleoside diphosphate linked moiety X)-type motif 6,Gingival Overgrowth;  Exfoliation Syndrome;  Gastric Ulcer;  Show all 9
NUFIP1,nuclear fragile X mental retardation protein interacting protein 1,Mental Retardation
NUMA1,nuclear mitotic apparatus protein 1,Leukemia; Acute Promyelocytic; Numa/rara Type Acute Promyelocytic Leukemia
NUMB,numb homolog (Drosophila),Lip Disease Tactile Agnosia
NUP107,nucleoporin 107kDa,Mesenchymal Chondrosarcoma
NUP155,nucleoporin 155kDa,Atrial Fibrillation 15 Atrial Fibrillation; Familial; 3
NUP214,nucleoporin 214kDa,Acute Myeloid Leukemia With T(6;9)(P23;q34);  Acute Myeloid Leukemia;  Acute T Cell LeukemiaShow all 4
NUP50P3,nucleoporin 50 pseudogene 3,Pulmonary Function
NUP62,nucleoporin 62kDa,Striatonigral Degeneration;  Striatonigral Degeneration Infantile Parotid Gland Cancer
NUP98,nucleoporin 98kDa,Breast Cancer;  Wilms Tumor;  Acute Myeloid Leukemia Show all 4
NUS1P2,nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 2,Cannabis Dependence
NXF1,nuclear RNA export factor 1,Branchiootorenal Syndrome Genital Herpes
NXF3,nuclear RNA export factor 3,Pelizaeus-Merzbacher Disease
NXN,nucleoredoxin,Vulvitis Polycystic Liver Disease
NXNL1,nucleoredoxin-like 1,Retinitis Pigmentosa
NXPH4,neurexophilin 4,Otitis Externa
NYS2,nystagmus 2; congenital autosomal dominant,Spasmus Nutans;  Nystagmus 2; Congenital; Autosomal Dominant Congenital Nystagmus
NYS3,nystagmus 3; congenital autosomal dominant,Nystagmus 3; Congenital; Autosomal Dominant Congenital Nystagmus
NYS4,nystagmus 4; congenital autosomal dominant,Nystagmus 4; Congenital; Autosomal Dominant
NYS5,Nystagmus 5; infantile periodic alternating,Nystagmus 5; Congenital; X-Linked
NYS7,Nystagmus 7; congenital,Nystagmus 7; Congenital; Autosomal Dominant
NYX,nyctalopin,X-Linked Congenital Stationary Night Blindness;  Irregular Astigmatism;  Hyperopia;  7
OA1,Osteoarthritis QTL 1,Congenital Nystagmus 6; X-Linked Ocular Albinism; Type I; Nettleship-Falls Type
OA12,Osteoarthritis QTL 12,Osteoarthritis
OA14,Osteoarthritis QTL 14,Osteoarthritis
OA15,Osteoarthritis QTL 15,Osteoarthritis
OA17,Osteoarthritis QTL 17,Osteoarthritis
OA18,Osteoarthritis QTL 18,Osteoarthritis
OA19,Osteoarthritis QTL 19,Osteoarthritis
OA2,Osteoarthritis QTL 2,Aland Island Eye Disease;  Night Blindness; Congenital Stationary ; 2A; X-Linked Cone-Rod Dystropy; X-Linked; 3
OA20,Osteoarthritis QTL 20,Osteoarthritis
OA21,Osteoarthritis QTL 21,Osteoarthritis
OA22,Osteoarthritis QTL 22,Osteoarthritis
OA23,Osteoarthritis QTL 23,Osteoarthritis
OA25,Osteoarthritis QTL 25,Osteoarthritis
OA29,Osteoarthritis QTL 29,Osteoarthritis
OA30,Osteoarthritis QTL 29,Osteoarthritis
OA6,Osteoarthritis QTL 6,Osteoarthritis
OAS1,2'-5'-oligoadenylate synthetase 1; 40/46kDa,Tick-Borne Encephalitis;  West Nile Encephalitis;  Viral Infectious Disease;  Show all 5
OAS2,2'-5'-oligoadenylate synthetase 2; 69/71kDa,West Nile Encephalitis;  Tick-Borne Encephalitis Eczema Herpeticum
OAS3,2'-5'-oligoadenylate synthetase 3; 100kDa,Chikungunya;  West Nile Encephalitis Tick-Borne Encephalitis
OASD,ocular albinism and sensorineural deafness,Albinism Ocular Late Onset Sensorineural Deafness
OASL,2'-5'-oligoadenylate synthetase-like,West Nile Encephalitis
OAT,ornithine aminotransferase,Gyrate Atrophy;  Gyrate Atrophy Of Choroid And Retina With Or Without Ornithinemia;  Eye Disease;  Show all 6
OAZ3,ornithine decarboxylase antizyme 3,Infertility
OBFC1,oligonucleotide/oligosaccharide-binding fold containing 1,Idiopathic Pulmonary Fibrosis
OBSL1,obscurin-like 1,3-M Syndrome 2;  3-M Syndrome; Obsl1-Related;  3-M Syndrome;  Show all 5
OCA2,oculocutaneous albinism II,Acute Conjunctivitis;  Oculocutaneous Albinism Type 2;  Albinism; Brown Oculocutaneous;  4
OCA5,oculocutaneous albinism 5 (autosomal recessive),Albinism; Oculocutaneous; Type V
OCIAD2,OCIA domain containing 2,Ovarian Mucinous Neoplasm
OCLN,occludin,Pseudo-Torch Syndrome;  Torch Syndrome;  Polymicrogyria Show all 4
OCM,oncomodulin,Benign Paroxysmal Positional Nystagmus
OCM2,oncomodulin 2,Benign Paroxysmal Positional Nystagmus
OCR1,ovarian cancer-related protein 1,Ovarian Cancer
OCRL,oculocerebrorenal syndrome of Lowe,Dent Disease 2;  Oculocerebrorenal Syndrome;  Dents Disease Show all 4
OCTN3,organic cation transporter 3,Ulcerative Colitis Crohns Disease
ODAM,odontogenic; ameloblast asssociated,Calcifying Epithelial Odontogenic Tumor Ossifying Fibroma
ODC1,ornithine decarboxylase 1,Colonic Adenoma Recurrence; Reduced Risk Of;  Cerebral Artery Occlusion;  Trypanosomiasis; 6
ODF1,outer dense fiber of sperm tails 1,Infertility
ODF3,outer dense fiber of sperm tails 3,Uterine Fibroid
ODF4,outer dense fiber of sperm tails 4,Chronic Myeloid Leukemia
ODPF,Osseous dysplasia; digital; with facial pigmentary defects and multiple frenula,Terminal Osseous Dysplasia
ODS1,Opioid dependence; susceptibility to; 1,Opioid Dependence 1;  Opiate Dependence Idiopathic Generalized Epilepsy
OED,Oregon eye disease,Aland Island Eye Disease Duchenne Muscular Dystrophy
OFC1,orofacial cleft 1,Orofacial Cleft-1;  Branchiootorenal Syndrome 1; With Or Without Cataracts;  Otofaciocervical Syndrome;  Show all 5
OFC12,Orofacial cleft 12,Orofacial Cleft 12
OFC13,Orofacial cleft 13,Orofacial Cleft 13
OFC2,orofacial cleft 2,Orofacial Cleft-2 Otofaciocervical Syndrome 2
OFC3,orofacial cleft 3,Orofacial Cleft-3
OFC4,Orofacial cleft 4,Orofacial Cleft 4
OFC9,Orofacial cleft 9,Orofacial Cleft 9
OFCC1,orofacial cleft 1 candidate 1,Chronic Tic Disorder;  Tic Disorder Orofacial Cleft
OFD1,oral-facial-digital syndrome 1,Oral-Facial-Digital Syndrome Type I;  Joubert Syndrome 10;  Orofaciodigital Syndrome;  4
OFD1P10Y,OFD1 pseudogene 10; Y-linked,Angelman Syndrome
OGDH,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),Alpha-Ketoglutarate Dehydrogenase Deficiency;  Primary Biliary Cirrhosis;  Wernicke Encephalopathy Show all 4
OGFR,opioid growth factor receptor,Pancreatic Cancer Squamous Cell Carcinoma Of The Head And Neck
OGG1,8-oxoguanine DNA glycosylase,Renal Cell Carcinoma; Clear Cell; Somatic;  Papillary Adenoma;  Xeroderma Pigmentosum; Group F;  2
OGN,osteoglycin,Vaginal Cancer
OGS2,Opitz G syndrome; type II,Opitz Gbbb Syndrome; Type Ii
OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,Insulin Resistance
OHDS,Orthostatic hypotensive disorder of Streeten,Orthostatic Hypotensive Disorder Of Streeten
OIT3,oncoprotein induced transcript 3,Familial Juvenile Hyperuricaemic Nephropathy
OLAH,oleoyl-ACP hydrolase,Rheumatoid Arthritis Arthritis
OLFM1,olfactomedin 1,Neuroblastoma
OLIG1,oligodendrocyte transcription factor 1,Astrocytoma
OLIG2,oligodendrocyte lineage transcription factor 2,Acute Lymphoblastic Leukemia;  Lymphoblastic Leukemia;  Astrocytoma;  Show all 7
OLR1,oxidized low density lipoprotein (lectin-like) receptor 1,Coronary Stenosis;  Myocardial Infarction;  Atherosclerosis;  Show all 6
OMD,osteomodulin,Aneurysmal Bone Cysts Blepharospasm
OMG,oligodendrocyte myelin glycoprotein,Learning Disability;  Autistic Disorder;  Primary Progressive Multiple Sclerosis Show all 4
OMP,olfactory marker protein,Epiglottitis;  Typhoid Fever;  Reactive Arthritis;  2
OMS,otitis media; susceptibility to,Otitis Media
ONECUT1,one cut homeobox 1,Hemophilia B Intestinal Atresia
ONECUT2,one cut homeobox 2,Hemophilia B
ONECUT3,one cut homeobox 3,Loiasis;  Dracunculiasis Pulmonary Venoocclusive Disease
OPA1,optic atrophy 1 (autosomal dominant),Optic Atrophy Type 1;  Blue Color Blindness;  Optic Atrophy;  0
OPA2,optic atrophy 2 (obscure),Optic Atrophy 2;  Early-Onset X-Linked Optic Atrophy Optic Atrophy 2; X-Linked
OPA3,optic atrophy 3 (autosomal recessive; with chorea and spastic paraplegia),Optic Atrophy 3 With Cataract;  Opa3-Related 3-Methylglutaconic Aciduria;  Dominant Optic Atrophy;  Show all 7
OPA4,optic atrophy 4 (autosomal dominant),Optic Atrophy-4 Dominant Optic Atrophy
OPA5,optic atrophy 5 (autosomal dominant),Optic Atrophy 5 Dominant Optic Atrophy
OPA6,optic atrophy 6 (autosomal recessive),Optic Atrophy 6
OPA8,optic atrophy 8 (autosomal dominant),Dominant Optic Atrophy
OPALIN,oligodendrocytic myelin paranodal and inner loop protein,Fucosidosis
OPCML,opioid binding protein/cell adhesion molecule-like,Adenocarcinoma; Ovarian; Somatic;  Ovarian Cancer; Somatic Ovarian Cancer
OPHLC,Omphalocele due to duplication of 1p31.3,Omphalocele Due To Duplication Of 1P31.3
OPHN1,oligophrenin 1,Mental Retardation X-Linked With Cerebellar Hypoplasia And Distinctive Facial Appearance; Craniofrontonasal Syndrome;  Cerebellar Hypoplasia Show all 4
OPLAH,5-oxoprolinase (ATP-hydrolysing),5-Oxoprolinase Deficiency;  Glutathione Synthetase Deficiency Metabolic Acidosis
OPN1LW,opsin 1 (cone pigments); long-wave-sensitive,Osteonecrosis;  Colorblindness; Protan;  Red Color Blindness;  0
OPN1MW,opsin 1 (cone pigments); medium-wave-sensitive,Red-Green Color Vision Defects;  Blue Cone Monochromatism;  Blue Cone Monochromacy; Show all 9
OPN1MW2,opsin 1 (cone pigments); medium-wave-sensitive 2,Thyroid Hormone Resistance Syndrome Blue Cone Monochromacy
OPN1SW,opsin 1 (cone pigments); short-wave-sensitive,Color Blindness;  Colorblindness; Tritan;  Blindness Show all 4
OPN3,opsin 3,Mitral Valve Insufficiency Enamel Erosion
OPN4,opsin 4,Seasonal Affective Disorder Retinitis Pigmentosa
OPRD1,opioid receptor; delta 1,Morphine Dependence;  Myocardial Stunning;  Drug Dependence;  Show all 5
OPRK1,opioid receptor; kappa 1,Uremic Pruritus;  Morphine Dependence;  Drug Dependence;  Show all 7
OPRL1,opiate receptor-like 1,Drug Dependence;  Pain Agnosia Agnosia
OPRM1,opioid receptor; mu 1,Opioid Abuse;  Complex Partial Epilepsy;  Neonatal Abstinence Syndrome;  0
OPTC,opticin,Posterior Column Ataxia;  Vitreous Detachment Skeletal Dysplasias
OPTN,optineurin,Glaucoma 1; Open Angle; E;  Optn-Related Amyotrophic Lateral Sclerosis;  Amyotrophic Lateral Sclerosis Type 12;  3
OR10A2,olfactory receptor; family 10; subfamily A; member 2,Vasomotor Rhinitis
OR10J3,olfactory receptor; family 10; subfamily J; member 3,Childhood Leukemia
OR10K2,olfactory receptor; family 10; subfamily K; member 2,Peroneal Neuropathy
OR10R2,olfactory receptor; family 10; subfamily R; member 2,Verrucous Papilloma Tinea Unguium
OR10X1,olfactory receptor; family 10; subfamily X; member 1 (gene/pseudogene),Basal Cell Carcinoma Nevoid Basal Cell Carcinoma Syndrome
OR12D3,olfactory receptor; family 12; subfamily D; member 3,Breast And Colorectal Cancer
OR13F1,olfactory receptor; family 13; subfamily F; member 1,Paratyphoid Fever
OR13G1,olfactory receptor; family 13; subfamily G; member 1,Familial Hypercholesterolemia
OR2B6,olfactory receptor; family 2; subfamily B; member 6,Murray Valley Encephalitis
OR2T12,olfactory receptor; family 2; subfamily T; member 12,Moyamoya Disease
OR2T33,olfactory receptor; family 2; subfamily T; member 33,Placenta Accreta
OR4C12,olfactory receptor; family 4; subfamily C; member 12,Pineoblastoma Medulloblastoma
OR4D2,olfactory receptor; family 4; subfamily D; member 2,Pertussis Essential Hypertension
OR51A1P,olfactory receptor; family 51; subfamily A; member 1 pseudogene,Hereditary Persistence Of Fetal Hemoglobin
OR51E2,olfactory receptor; family 51; subfamily E; member 2,Prostate Cancer
OR52I1,olfactory receptor; family 52; subfamily I; member 1,Type 2 Diabetes Mellitus
OR5H2,olfactory receptor; family 5; subfamily H; member 2,Drug-Induced Liver Injury Due To Flucloxacillin
OR5H8P,olfactory receptor; family 5; subfamily H; member 8 pseudogene,Drug-Induced Liver Injury Due To Flucloxacillin
OR5K2,olfactory receptor; family 5; subfamily K; member 2,Placenta Praevia Intestinal Perforation
OR6B2,olfactory receptor; family 6; subfamily B; member 2,Ophthalmia Neonatorum
OR6R2P,olfactory receptor; family 6; subfamily R; member 2 pseudogene,Alzheimers Disease
OR7E106P,olfactory receptor; family 7; subfamily E; member 106 pseudogene,Alzheimers Disease
ORAI1,ORAI calcium release-activated calcium modulator 1,Immunodeficiency 9;  Myopathy; Tubular Aggregate; 2 Myopathy; Tubular Aggregate; 1
ORAOV1,oral cancer overexpressed 1,Breast Cancer Susceptibility;  Oral Cancer;  Oral Squamous Cell Carcinoma Show all 4
ORAOV1P1,oral cancer overexpressed 1 pseudogene 1,Oral Cancer
ORC1,origin recognition complex; subunit 1,Meier-Gorlin Syndrome 1;  Meier-Gorlin Syndrome;  Microtia Show all 4
ORC4,origin recognition complex; subunit 4,Meier-Gorlin Syndrome 2;  Meier-Gorlin Syndrome;  Microtia Show all 4
ORC6,origin recognition complex; subunit 6,Meier-Gorlin Syndrome 3;  Meier-Gorlin Syndrome;  Microtia Show all 4
ORM1,orosomucoid 1,Pediatric Multiple Sclerosis Chronic Myeloid Leukemia
ORMDL3,ORM1-like 3 (S. cerevisiae),Primary Biliary Cirrhosis
OS9,osteosarcoma amplified 9; endoplasmic reticulum lectin,Osteosarcoma Hypoxia
OSBP2,oxysterol binding protein 2,Opisthorchiasis
OSBPL5,oxysterol binding protein-like 5,Adult Syndrome
OSBPL7,oxysterol binding protein-like 7,Opisthorchiasis
OSBPL9P2,oxysterol binding protein-like 9 pseudogene 2,Hiv-1
OSCAR,osteoclast associated; immunoglobulin-like receptor,Decubitus Ulcer
OSCP1,organic solute carrier partner 1,Nasopharynx Carcinoma
OSGEP,O-sialoglycoprotein endopeptidase,Pasteurellosis;  Shipyard Eye Hereditary Elliptocytosis
OSM,oncostatin M,Kaposis Sarcoma;  Osteochondrosis;  Cerebral Meningioma Show all 4
OSMR,oncostatin M receptor,Amyloidosis; Primary Localized Cutaneous; 1;  Primary Cutaneous Amyloidosis Amyloidosis
OSR2,odd-skipped related transciption factor 2,Blepharophimosis; Ptosis; And Epicanthus Inversus Syndrome
OSTM1,osteopetrosis associated transmembrane protein 1,Osteopetrosis Autosomal Recessive 5;  Ostm1-Related Autosomal Recessive OsteopetrosisOsteopetrosis
OSTN,osteocrin,Acromesomelic Dysplasia
OTC,ornithine carbamoyltransferase,Amino Acid Metabolic Disorder;  Diaper Rash;  Ornithine Carbamoyltransferase Deficiency; 1
OTDD,Otodental dysplasia chromsome deletion syndrome,Otodental Dysplasia Chromsome Deletion Syndrome Otodental Dysplasia
OTOA,otoancorin,Deafness; Autosomal Recessive 22;  Papillary Transitional Carcinoma;  Dfnb22 Nonsyndromic Hearing Loss And Deafness Show all 4
OTOF,otoferlin,Auditory Neuropathy; Autosomal Recessive; 1;  Otof-Related Deafness;  Deafness; Autosomal Recessive 9;  Show all 9
OTOG,otogelin,Deafness; Autosomal Recessive 18B;  Deafness; Digenic; Gjb2/gjb3;  Autosomal Recessive Nonsyndromic Deafness Show all 4
OTOGL,otogelin-like,Deafness; Autosomal Recessive 84B Deafness; Digenic; Gjb2/gjb3
OTOP1,otopetrin 1,Benign Paroxysmal Positional Nystagmus
OTOR,otoraplin,Melanoma
OTOS,otospiralin,Vestibular Disease
OTP,orthopedia homeobox,Skull Base Meningioma Meningioma
OTSC1,otosclerosis 1,Otosclerosis 1
OTSC10,otosclerosis 10,Otosclerosis 10
OTSC2,otosclerosis 2,Otosclerosis 2
OTSC3,otosclerosis 3,Otosclerosis 3
OTSC4,otosclerosis 4,Otosclerosis 4
OTSC5,otosclerosis 5,Otosclerosis 5
OTSC7,otosclerosis 7,Otosclerosis 7
OTSC8,otosclerosis 8,Otosclerosis 8
OTUD4,OTU deubiquitinase 4,Hiv-1 Hypogonadotropism
OTX1,orthodenticle homeobox 1,Non-Hodgkin Lymphoma Autism Spectrum Disorder
OTX2,orthodenticle homeobox 2,Pituitary Hormone Deficiency; Combined; 6;  Otx2-Related Combined Pituitary Hormone Deficiency;  Microphthalmia Syndromic 5;  3
OVAAL,ovarian adenocarcinoma amplified long non-coding RNA,Adenocarcinoma
OVCA2,ovarian tumor suppressor candidate 2,Ovarian Cancer Intrahepatic Cholangiocarcinoma
OVCAS1,Ovarian cancer; epithelial; susceptibility to,Ovarian Cancer
OVGP1,oviductal glycoprotein 1; 120kDa,Osteoporosis
OVOL2,ovo-like zinc finger 2,Corneal Edema
OXA1L,oxidase (cytochrome c) assembly 1-like,Dysalbuminemic Hyperthyroxinemia;  Hyperthyroxinemia;  Dental Caries Show all 4
OXCT1,3-oxoacid CoA transferase 1,Scot Deficiency
OXER1,oxoeicosanoid (OXE) receptor 1,Retinitis Pigmentosa
OXSM,3-oxoacyl-ACP synthase; mitochondrial,Phaeohyphomycosis
OXT,oxytocin/neurophysin I prepropeptide,Epignathus;  Erbs Palsy;  Persistent Genital Arousal Disorder;  6
OXTR,oxytocin receptor,Atypical Autism;  Adenomyosis;  Chorioamnionitis Show all 4
P2RX1,purinergic receptor P2X; ligand-gated ion channel; 1,Bleeding Disorder Due To P2Rx1 Defect;  Bleeding Disorder; Platelet-Type; 8 Dilated Cardiomyopathy
P2RX2,purinergic receptor P2X; ligand-gated ion channel; 2,Deafness; Autosomal Dominant 41;  Neurogenic Bladder;  Pheochromocytoma Show all 4
P2RX3,purinergic receptor P2X; ligand-gated ion channel; 3,Burning Mouth Syndrome
P2RX4,purinergic receptor P2X; ligand-gated ion channel; 4,Chronic Pain
P2RX5,purinergic receptor P2X; ligand-gated ion channel; 5,Nephropathic Cystinosis;  Cystinosis;  Venous Insufficiency;  Show all 5
P2RX7,purinergic receptor P2X; ligand-gated ion channel; 7,Extrapulmonary Tuberculosis Tuberculosis
P2RY1,purinergic receptor P2Y; G-protein coupled; 1,Extrapulmonary Tuberculosis
P2RY11,purinergic receptor P2Y; G-protein coupled; 11,Narcolepsy Narcolepsy 1
P2RY12,purinergic receptor P2Y; G-protein coupled; 12,Bleeding Disorder; Platelet-Type; 8;  Type 1 Von Willebrand Disease;  Angina Pectoris;  
P2RY14,purinergic receptor P2Y; G-protein coupled; 14,Usher Syndrome Type 3
P2RY8,purinergic receptor P2Y; G-protein coupled; 8,Acute Lymphoblastic Leukemia Follicular Lymphoma
P4HB,prolyl 4-hydroxylase; beta polypeptide,Pseudoachondroplasia Malaria
P4HTM,prolyl 4-hydroxylase; transmembrane (endoplasmic reticulum),Hypoxia
PAAF1,proteasomal ATPase-associated factor 1,Bladder Leiomyoma Splenic Abscess
PABPC1,poly(A) binding protein; cytoplasmic 1,Rift Valley Fever
PABPC1P2,poly(A) binding protein; cytoplasmic 1 pseudogene 2,Oculopharyngeal Muscular Dystrophy
PABPN1,poly(A) binding protein; nuclear 1,Oculopharyngodistal Myopathy;  Oculopharyngeal Muscular Dystrophy;  Dysphagia;  Show all 6
PACRG,PARK2 co-regulated,Leprosy;  Parkinsons Disease Parkinson Disease 1
PACS1,phosphofurin acidic cluster sorting protein 1,Mental Retardation; Autosomal Dominant 17 Hiv-1
PADI2,peptidyl arginine deiminase; type II,Alzheimers Disease Multiple Sclerosis
PADI4,peptidyl arginine deiminase; type IV,Rheumatoid Arthritis Palindromic Rheumatism
PAEP,progestagen-associated endometrial protein,Pancreatic Cystadenoma;  Submucous Uterine Fibroid;  Uterine Fibroid;  Show all 7
PAF1,Paf1; RNA polymerase II associated factor; homolog (S. cerevisiae),Peroxisome Biogenesis Disorder 5A;  Peroxisome Biogenesis Disorder 5B Vulvitis
PAFAH1B1,platelet-activating factor acetylhydrolase 1b; regulatory subunit 1 (45kDa),Lissencephaly 1;  Lis1-Associated Lissencephaly/subcortical Band Heterotopia;  Subcortical Laminar Heterotopia;  2
PAFC,Preauricular fistulae; congenital,Preauricular Fistulae; Congenital
PAGE4,P antigen family; member 4 (prostate associated),Prostate Cancer;  Testicular Cancer;  Stomach Cancer;  Show all 5
PAGE5,P antigen family; member 5 (prostate associated),Hepatocellular Fibrolamellar Carcinoma
PAH,phenylalanine hydroxylase,Maternal Hyperphenylalaninemia;  Mild Phenylketonuria;  Benign Hyperphenylalaninemia;  4
PAK3,p21 protein (Cdc42/Rac)-activated kinase 3,Mental Retardation; X-Linked 30/47;  Mental Retardation; X-Linked;  Mental Retardation Show all 4
PAK4,p21 protein (Cdc42/Rac)-activated kinase 4,Breast Adenoma
PAK6,p21 protein (Cdc42/Rac)-activated kinase 6,Prostate Cancer La Crosse Encephalitis
PALB2,partner and localizer of BRCA2,Fanconi Anemia; Complementation Group N;  Pancreatic Cancer 3;  Pancreatic Cancer Susceptibility 3;  4
PALLD,palladin; cytoskeletal associated protein,Pancreatic Cancer 1;  Pancreatic Cancer Susceptibility 1;  Pancreatic Cancer;  Show all 6
PAM16,presequence translocase-associated motor 16 homolog (S. cerevisiae),Autosomal Recessive Spondylometaphyseal Dysplasia; M?garban? Type Acth-Secreting Pituitary Adenoma
